hub_a,hub_b,kind,similarity,slug_a,slug_b,title_a,title_b
comparisons.csv,mistakes.csv,similar,0.909,s32-taikaku-kimetsu,s32-kon-taikaku,耐圧試験と気密試験（手続確認）,耐圧試験と気密試験の混同（手続確認）
comparisons.csv,mistakes.csv,similar,0.909,s32-hozen-keikaku,s32-kon-hozen,保全計画と点検記録（手続確認）,保全計画と点検記録の混同（手続確認）
comparisons.csv,mistakes.csv,similar,0.882,s33-fuzoku-sochi,s33-kon-fuzoku,附属装置と附属品の管理（数値確認）,附属装置と附属品の混同（数値確認）
comparisons.csv,mistakes.csv,similar,0.909,s33-shiyou-teiki,s33-kon-kensa-shubetsu,使用検査と定期検査（数値確認）,使用検査と定期検査の混同（数値確認）
comparisons.csv,mistakes.csv,similar,0.903,s33-kyusui-shori,s33-kon-kyusui,給水処理と脱酸素（数値確認）,給水処理と脱酸素の混同（数値確認）
comparisons.csv,comparisons.csv,similar,0.938,s35-unten-cmp,s35-unten-taihi,ボイラー運転の比較表（基礎整理）,ボイラー運転の対比表（基礎整理）
comparisons.csv,comparisons.csv,similar,0.917,s36-kyusui-cmp,s36-kyusui-taihi,給水の比較表（実務連動）,給水の対比表（実務連動）
comparisons.csv,comparisons.csv,similar,0.929,s37-anzen-cmp,s37-anzen-taihi,安全装置の比較表（試験頻出）,安全装置の対比表（試験頻出）
comparisons.csv,comparisons.csv,similar,0.929,s38-fuzoku-cmp,s38-fuzoku-taihi,附属の比較表（判例・ガイド）,附属の対比表（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.923,s39-haigas-cmp,s39-haigas-taihi,排ガスの比較表（横断総合）,排ガスの対比表（横断総合）
comparisons.csv,comparisons.csv,similar,0.929,s40-unten-kanri-cmp,s40-unten-kanri-taihi,運転管理の比較表（深化整理）,運転管理の対比表（深化整理）
comparisons.csv,comparisons.csv,similar,0.929,s41-kyusui-shori-cmp,s41-kyusui-shori-taihi,給水処理の比較表（現場応用）,給水処理の対比表（現場応用）
comparisons.csv,comparisons.csv,similar,0.929,s42-anzenben-cmp,s42-anzenben-taihi,安全弁の比較表（頻出再整理）,安全弁の対比表（頻出再整理）
comparisons.csv,comparisons.csv,similar,0.882,s42-boiler-kaisei-diff,s42-boiler-kaisei-seido,ボイラー法改正の違い（頻出再整理）,ボイラー法改正の制度（頻出再整理）
comparisons.csv,comparisons.csv,similar,0.933,s43-fuzoku-kiki-cmp,s43-fuzoku-kiki-taihi,附属機器の比較表（ガイド更新）,附属機器の対比表（ガイド更新）
comparisons.csv,comparisons.csv,similar,0.933,s44-haigas-taisaku-cmp,s44-haigas-taisaku-taihi,排ガス対策の比較表（直前総合）,排ガス対策の対比表（直前総合）
mistakes.csv,mistakes.csv,similar,0.889,s31-kon-anzenben,s34-kon-fuzoku-valve,安全弁と逃がし弁の再混同（論点整理）,安全弁と逃がし弁の再混同（頻出整理）
mistakes.csv,mistakes.csv,similar,0.882,s42-kon-boiler-kaisei-gokai,s42-kon-boiler-kaisei-omit,ボイラー法改正｜誤認の混同（頻出）,ボイラー法改正｜省略の混同（頻出）
mistakes.csv,mistakes.csv,similar,0.882,s42-kon-boiler-kaisei-gokai,s42-kon-boiler-kaisei-over,ボイラー法改正｜誤認の混同（頻出）,ボイラー法改正｜過剰の混同（頻出）
mistakes.csv,mistakes.csv,similar,0.882,s42-kon-boiler-kaisei-omit,s42-kon-boiler-kaisei-over,ボイラー法改正｜省略の混同（頻出）,ボイラー法改正｜過剰の混同（頻出）
